author_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_mean_pick_abs_error
Dave Richard,2,2,19.067540322580644,0.1905241935483871,0.1910282258064516,0.19002016129032256,0.7772177419354839,10.551915322580644
Landon Belote,1,1,19.0625,0.1875,0.15625,0.28125,0.875,9.84375
Mike Tanier,1,1,19.0625,0.15625,0.1875,0.25,0.71875,11.65625
John Williams,2,2,19.0625,0.140625,0.171875,0.3125,0.75,9.796875
Shane Hallam,3,3,19.0625,0.13541666666666666,0.20833333333333334,0.22916666666666666,0.8645833333333334,7.020833333333333
Reese Jones,1,1,19.0625,0.125,0.21875,0.21875,0.84375,10.5
Richard Bradshaw,1,1,19.0625,0.125,0.21875,0.21875,0.84375,6.9375
John Laub,1,1,19.0625,0.09375,0.25,0.1875,0.78125,7.84375
Sean Hammond,1,1,19.032258064516128,0.1935483870967742,0.1612903225806451,0.2580645161290322,0.8064516129032258,7.870967741935484
Daniel Kornhauser,2,2,18.931451612903224,0.11139112903225805,0.22328629032258066,0.22127016129032256,0.8089717741935484,8.816532258064516
Logan Lamorandier,2,2,18.90625,0.140625,0.1875,0.265625,0.828125,7.796875
Doug Farrar,2,2,18.795362903225808,0.17439516129032256,0.15776209677419356,0.28377016129032256,0.7318548387096775,10.552923387096774
Justin Melo,4,4,18.75252016129032,0.1567540322580645,0.18069556451612903,0.25075604838709675,0.7552923387096774,12.1328125
John Shipley,1,1,18.75,0.1875,0.1875,0.1875,0.84375,11.5
Luis Tirado Jr.,1,1,18.75,0.15625,0.15625,0.3125,0.71875,11.59375
Brent Sobleski,1,1,18.75,0.125,0.1875,0.28125,0.8125,11.75
Dan Schneier,1,1,18.75,0.125,0.1875,0.28125,0.6875,10.71875
Mike Luchene,1,1,18.75,0.125,0.1875,0.28125,0.84375,6.5625
Ryan Noonan,4,4,18.724798387096776,0.14919354838709678,0.18094758064516128,0.2600806451612903,0.8422379032258065,7.996975806451613
Evan Silva,4,4,18.717237903225808,0.14138104838709678,0.17338709677419356,0.29032258064516125,0.8344254032258065,7.230342741935484
J.P. Acosta,2,2,18.664314516129032,0.126008064516129,0.19002016129032256,0.2691532258064516,0.7459677419354839,10.313508064516128
Connor Allen,3,3,18.625,0.11666666666666665,0.21388888888888888,0.22152777777777777,0.8298611111111112,7.239583333333333
Brad Menendez,2,2,18.59375,0.140625,0.1875,0.25,0.796875,8.5625
Cory Bonini,3,3,18.541666666666668,0.15625,0.17708333333333334,0.25,0.8020833333333334,10.3125
Ari Meirov,1,1,18.4375,0.1875,0.15625,0.25,0.84375,11.4375
Corey Parson,1,1,18.4375,0.15625,0.125,0.375,0.75,8.71875
Jason Bantle,2,2,18.4375,0.140625,0.203125,0.203125,0.78125,9.953125
Josh Frey,1,1,18.4375,0.125,0.21875,0.1875,0.8125,10.3125
Matthew Tabeek,1,1,18.4375,0.125,0.15625,0.34375,0.75,10.0
Art Stapleton,1,1,18.4375,0.09375,0.1875,0.3125,0.75,9.25
Kyle Stackpole,2,2,18.432459677419356,0.18951612903225806,0.172883064516129,0.20514112903225806,0.8724798387096775,6.673891129032258
Glenn Erby,1,1,18.387096774193548,0.1935483870967742,0.1612903225806451,0.2258064516129032,0.8709677419354839,7.709677419354839
James Fragoza,1,1,18.387096774193544,0.1612903225806451,0.1935483870967742,0.1935483870967742,0.7741935483870968,9.96774193548387
Cris Collinsworth,3,3,18.343413978494624,0.14751344086021503,0.16868279569892475,0.27419354838709675,0.7785618279569894,12.113911290322582
