player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_count,most_common_team,most_common_team_slug
Jeremiyah Love,RB,5,5,5,1.0,1.0,1,1,,,,,4,Tennessee Titans,tennessee-titans
Kaelon Black,RB,5,5,5,6.4,6.0,6,7,,,,,5,Jacksonville Jaguars,jacksonville-jaguars
Kaleb Elarms-Orr,LB,5,5,5,5.0,5.0,5,5,,,,,5,Carolina Panthers,carolina-panthers
Keionte Scott,CB,5,5,5,2.2,2.0,2,3,,,,,5,Arizona Cardinals,arizona-cardinals
Kevin Concepcion,WR,5,5,4,1.6,2.0,1,2,,,,,5,Carolina Panthers,carolina-panthers
Markel Bell,OT,5,5,5,4.4,4.0,4,5,,,,,4,Cleveland Browns,cleveland-browns
Max Iheanachor,OT,5,5,5,1.4,1.0,1,2,,,,,5,Carolina Panthers,carolina-panthers
Omar Cooper Jr.,WR,5,5,5,1.6,2.0,1,2,,,,,4,Las Vegas Raiders,las-vegas-raiders
Parker Brailsford,IOL,5,5,4,5.0,4.0,3,7,,,,,5,Atlanta Falcons,atlanta-falcons
Sam Hecht,IOL,5,5,5,2.2,2.0,2,3,,,,,2,Minnesota Vikings,minnesota-vikings
Skyler Bell,WR,5,5,4,2.8,3.0,2,3,,,,,4,Pittsburgh Steelers,pittsburgh-steelers
Taurean York,LB,5,5,4,4.8,5.0,4,5,,,,,5,Arizona Cardinals,arizona-cardinals
Thaddeus Dixon,CB,5,5,5,5.8,6.0,5,7,,,,,5,Dallas Cowboys,dallas-cowboys
VJ Payne,S,5,5,5,4.8,5.0,4,5,,,,,5,Chicago Bears,chicago-bears
Zakee Wheatley,S,5,5,4,3.6,4.0,3,4,,,,,4,Pittsburgh Steelers,pittsburgh-steelers
Zion Young,EDGE,5,5,5,1.6,2.0,1,2,,,,,3,Kansas City Chiefs,kansas-city-chiefs
Zxavian Harris,DL,5,5,5,4.4,4.0,4,5,,,,,5,Chicago Bears,chicago-bears
Beau Stephens,IOL,4,4,4,4.75,4.5,4,6,,,,,4,Denver Broncos,denver-broncos
Cade Klubnik,QB,4,4,4,5.75,5.5,5,7,,,,,4,Buffalo Bills,buffalo-bills
Carnell Tate,WR,4,4,4,1.0,1.0,1,1,,,,,2,Cleveland Browns,cleveland-browns
Chris Bell,WR,4,4,4,2.5,2.5,2,3,,,,,4,Cleveland Browns,cleveland-browns
Cole Wisniewski,S,4,4,4,6.75,7.0,6,7,,,,,4,Green Bay Packers,green-bay-packers
Colton Hood,CB,4,4,4,1.5,1.5,1,2,,,,,4,Cleveland Browns,cleveland-browns
Diego Pounds,OT,4,4,4,6.25,6.5,5,7,,,,,4,Buffalo Bills,buffalo-bills
Eli Raridon,TE,4,4,4,4.75,4.5,4,6,,,,,3,Denver Broncos,denver-broncos
Eli Stowers,TE,4,4,4,2.5,2.5,2,3,,,,,2,Philadelphia Eagles,philadelphia-eagles
Elijah Sarratt,WR,4,4,4,2.75,3.0,2,3,,,,,3,Pittsburgh Steelers,pittsburgh-steelers
Eric Gentry,LB,4,4,4,6.75,7.0,6,7,,,,,4,Baltimore Ravens,baltimore-ravens
Jack Endries,TE,4,4,4,3.75,4.0,3,4,,,,,4,Carolina Panthers,carolina-panthers
Jadarian Price,RB,4,4,3,2.25,2.0,1,4,,,,,3,Denver Broncos,denver-broncos
